 ,Armii Krajowej,Bora-Komorowskiego,Bulwary,Dworzec,Grzegórzecka,Kamieńskiego,Klimeckiego,Kopernika,Kotlarska,Mogilska,Monte Cassino,Niepołomska,Nowohucka,Smoleńsk,Tyniecka,Wadowicka,Wielicka,Średnia temp.,Min. temp.,Maks. temp.,Odczuwalna temp.,Opady (mm),Wiatr
2016/11/18,,,421,,,,,,560,907,,,,,,212,329,7,3,11,4,0,8
2016/11/19,,,328,,,,,,232,438,,,,,,206,151,9,5,13,7,0,11
2016/11/20,,,539,,,,,,285,549,,,,,,212,182,8,4,11,6,0,9
2016/11/21,,,1002,,,,,,953,1501,,,,,,382,479,10,6,14,7,0,11
2016/11/22,,,1132, ,,,,,1039,1626,,,,,,386,502,10,6,13,7,0,10
2016/11/23,,,972,,,,,,996,1555,,,,,,319,440,10,6,13,8,0,6
2016/11/24,,,701,,,,,,787,1270,,,,,,255,358,6,4,9,7,0,4
2016/11/25,,,454,,,,,,551,906,,,,,,158,222,4,0,7,2,0,9
2016/11/26,,,259,,,,,,265,385,,,,,,107,109,4,0,7,2,0,7
2016/11/27,,,127,,,,,,102,246,,,,,,117,58,3,0,6,0,1,20
2016/11/28,,,357,,,,,,493,804,,,,,,155,204,-2,-5,0,-6,0,19
2016/11/29,,,336,,,,,,497,801,,,,,,219,194,-3,-5,-1,-8,0,19
2016/11/30,,,370,,,,,,467,821,,,,,,252,199,-1,-3,1,-6,0,19
2016/12/01,,,233,,,,,,311,494,,,,,,172,122,0,-1,2,-5,4,23
2016/12/02,,,278,,,,,,375,553,,,,,,185,138,2,1,3,-4,0,25
2016/12/03,,,185,,,,,,165,298,,,,,,72,55,-1,-3,1,-5,1,18
2016/12/04,,,251,,,,,,183,291,,,,,,93,78,-2,-5,0,-7,0,10
2016/12/05,,,382,,,,,,475,734,,,,,,272,185,-1,-3,1,-5,0,8
2016/12/06,,,361,,,,,,482,757,,,,,,235,215,-2,-4,-1,-7,0,16
2016/12/07,,,405,,,,,,513,803,,,,,,237,204,-2,-3,0,-4,0,7
2016/12/08,,,436,,,,,,530,839,,,,,,304,206,2,-1,4,-3,0,21
2016/12/09,,,400,,,,,,498,812,,,,,,291,227,3,1,5,-1,0,20
2016/12/10,,,256,,,,,,199,385,,,,,,94,134,6,3,8,2,0,19
2016/12/11,,,178,,,,,,113,231,,,,,,36,69,6,5,7,2,0,23
2016/12/12,,,249,,,,,,361,612,,,,,,127,162,1,-3,5,-3,0,20
2016/12/13,,,336,,,,,,439,788,,,,,,204,184,-3,-5,-1,-6,0,7
2016/12/14,,,286,,,,,,413,697,,,,,,186,169,-2,-3,0,-5,0,15
2016/12/15,,,278,,,,,,403,705,,,,,,208,184,0,-1,1,-3,0,9
2016/12/16,,,345,,,,,,429,755,,,,,,182,190,0,-2,1,-3,0,6
2016/12/17,,,206,,,,,,153,338,,,,,,88,106,0,-2,2,-4,0,9
2016/12/18,,,104,,,,,,96,193,,,,,,71,51,-1,-2,0,-3,0,9
2016/12/19,,,319,,,,,,396,738,,,,,,233,181,0,-2,1,-1,0,5
2016/12/20,,,372,,,,,,501,788,,,,,,231,227,-1,-3,1,-3,0,6
2016/12/21,,,303,,,,,,493,759,,,,,,260,209,0,-2,1,-1,0,5
2016/12/22,,,283,,,,,,417,702,,,,,,251,178,-1,-3,1,-2,0,6
2016/12/23,,,199,,,,,,302,456,,,,,,146,125,0,-2,1,-4,0,9
2016/12/24,,,51,,,,,,50,95,,,,,,44,40,0,-2,1,-4,0,13
2016/12/25,,,39,,,,,,15,43,,,,,,8,14,2,1,3,-3,2,18
2016/12/26,,,82,,,,,,47,93,,,,,,37,28,4,3,6,0,0,20
2016/12/27,,,130,,,,,,165,317,,,,,,125,81,2,1,4,-3,0,30
2016/12/28,,,258,,,,,,316,525,,,,,,142,116,0,-1,1,-5,0,20
2016/12/29,,,284,,,,,,303,552,,,,,,172,141,-1,-2,0,-4,0,10
2016/12/30,,,262,,,,,,284,495,,,,,,143,134,-1,-3,1,-3,0,7
2016/12/31,,,134,,,,,,119,210,,,,,,65,76,0,-2,3,-4,0,11
2017/01/01,,,201,,,,,,80,172,,,,,,74,50,0,-2,2,-3,0,8
2017/01/02,,,262,,,,,,315,495,,,,,,149,136,-1,-2,0,-6,0,18
2017/01/03,,,136,,,,,,262,414,,,,,,74,92,-2,-3,0,-7,0,23
